run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
CONT_s11_BigBuckBunny,18,41,,0.396462,0.163372,0.0,0.787862,,,,,,,,510308,437,4,Degraded
CONT_s11_BigBuckBunny,19,41,,0.262129,0.23147,0.0,0.773728,,,,,,,,340006,294,3,Degraded
CONT_s11_BigBuckBunny,20,40,,0.722799,3.493669,0.0,22.031215,,,,,,,,911510,682,4,Degraded
CONT_s11_BigBuckBunny,21,41,,0.359665,1.310011,0.0,6.161715,,,,,,,,473248,359,2,Degraded
CONT_s11_BigBuckBunny,22,40,,0.246677,1.074883,0.0,4.958749,,,,,,,,316193,246,4,Degraded
CONT_s11_BigBuckBunny,23,40,,2.002241,2.87516,0.0,12.08516,,,,,,,,2527797,1947,4,Degraded
CONT_s11_BigBuckBunny,24,41,,1.964708,2.911312,0.0,11.318424,,,,,,,,2559681,1975,4,Degraded
CONT_s11_BigBuckBunny,25,40,,0.460924,1.267548,0.0,5.805175,,,,,,,,587508,451,2,Degraded
CONT_s11_BigBuckBunny,26,41,,0.64184,0.526091,0.0,1.24327,,,,,,,,825361,659,2,Good
CONT_s11_BigBuckBunny,27,41,,1.09535,0.107228,0.904828,1.281456,,,,,,,,1419040,1167,4,Good
CONT_s11_BigBuckBunny,28,40,,0.898869,0.236317,0.270308,1.218065,,,,,,,,1136022,1026,6,Good
CONT_s11_BigBuckBunny,29,41,,0.381992,0.339498,0.0,0.768321,,,,,,,,493378,522,4,Good
CONT_s11_ElephantsDream,1,35,,0.663037,0.026467,0.587142,0.713918,,,,,,,,861592,851,2,Good
