run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,label
S2A_BigBuckBunny_rep1,5,11,2.860882,0.369678,1.709328,3.095001,3950473,2637,1,Excellent
S2A_BigBuckBunny_rep1,6,11,2.004603,0.934055,0.0,2.974614,2768118,1847,1,Excellent
S2A_BigBuckBunny_rep1,7,11,1.651397,1.215293,0.0,3.10425,2280461,1521,1,Excellent
S2A_BigBuckBunny_rep1,8,11,2.591872,0.837999,0.77666,3.10425,3579152,2392,2,Excellent
S2A_BigBuckBunny_rep1,9,11,1.809383,1.090016,0.153038,3.035252,2498633,1667,1,Excellent
S2A_BigBuckBunny_rep1,10,11,2.466206,0.684966,1.111222,3.046595,3406017,2272,1,Excellent
S2A_BigBuckBunny_rep1,11,11,2.727077,0.559498,1.49328,3.046595,3766177,2512,1,Excellent
S2A_BigBuckBunny_rep1,12,11,2.971616,0.061326,2.890703,3.078786,4104401,2738,1,Excellent
S2A_BigBuckBunny_rep1,13,11,2.185671,0.951738,0.0,2.998805,3021764,2017,1,Excellent
S2A_BigBuckBunny_rep1,14,11,1.385305,1.029465,0.0,3.034648,1913239,1277,1,Excellent
S2A_BigBuckBunny_rep1,15,11,2.448317,0.960119,0.0,3.117348,3382515,2257,1,Excellent
S2A_BigBuckBunny_rep1,16,11,2.980722,0.040681,2.915464,3.051927,4116045,2746,1,Excellent
S2A_BigBuckBunny_rep1,17,10,2.055607,1.084899,0.0,3.059456,2580486,1722,1,Excellent
S2A_BigBuckBunny_rep1,18,11,1.990982,1.156304,0.0,3.082744,2751037,1835,1,Excellent
S2A_BigBuckBunny_rep1,19,11,2.965119,0.036816,2.903515,3.032384,4094568,2732,1,Excellent
S2A_BigBuckBunny_rep1,20,11,2.977718,0.067201,2.879618,3.10726,4112116,2744,1,Excellent
S2A_BigBuckBunny_rep1,21,11,1.86798,1.220292,0.0,3.083051,2579420,1721,1,Excellent
S2A_BigBuckBunny_rep1,22,11,2.374243,1.087443,0.0,3.047202,3278744,2187,1,Excellent
S2A_BigBuckBunny_rep1,23,11,2.962014,0.044718,2.891278,3.047202,4090392,2729,1,Excellent
S2A_BigBuckBunny_rep1,24,11,2.853588,0.379475,1.663365,3.069879,3941436,2629,1,Excellent
S2A_BigBuckBunny_rep1,25,11,2.074367,1.030356,0.238901,2.97491,2865101,1912,1,Excellent
S2A_BigBuckBunny_rep1,26,11,2.862099,0.380634,1.6746,3.081354,3952815,2637,1,Excellent
S2A_BigBuckBunny_rep1,27,11,2.734361,0.739929,0.400127,3.07699,3777185,2521,1,Excellent
S2A_BigBuckBunny_rep1,28,11,1.142817,1.231602,0.0,3.0227,1578174,1056,1,Excellent
S2A_BigBuckBunny_rep1,29,11,0.000608,0.001219,0.0,0.003187,840,3,1,Excellent
S2A_ElephantsDream_rep1,1,11,2.976375,0.042429,2.920072,3.047202,4113085,2744,1,Excellent
S2A_ElephantsDream_rep1,2,11,2.973711,0.037913,2.927704,3.047202,4106139,2740,1,Excellent
S2A_ElephantsDream_rep1,3,11,2.580243,0.867845,0.251303,3.03495,3566477,2381,1,Excellent
S2A_ElephantsDream_rep1,4,11,1.905742,1.081766,0.0,3.069573,2631890,1756,1,Excellent
S2A_ElephantsDream_rep1,5,11,2.172541,0.971308,0.0,3.03495,3000281,2002,1,Excellent
S2A_ElephantsDream_rep1,6,11,2.972242,0.070582,2.846361,3.046898,4104628,2739,1,Excellent
S2A_ElephantsDream_rep1,7,11,2.973123,0.045676,2.891566,3.057348,4106106,2739,1,Excellent
S2A_ElephantsDream_rep1,8,11,1.065259,1.270983,0.0,2.998208,1472001,987,2,Excellent
S2A_ElephantsDream_rep1,9,11,2.328788,1.15021,0.0,3.129292,3216721,2147,1,Excellent
S2A_ElephantsDream_rep1,10,11,2.974028,0.06494,2.871568,3.069879,4107987,2741,1,Excellent
S2A_ElephantsDream_rep1,11,11,2.976035,0.057128,2.900915,3.076958,4111091,2742,1,Excellent
S2A_ElephantsDream_rep1,12,11,2.582282,0.870211,0.0,3.08213,3566407,2379,1,Excellent
S2A_ElephantsDream_rep1,13,10,2.265622,1.063076,0.0,2.999104,2844586,1897,1,Excellent
S2A_ElephantsDream_rep1,14,11,2.969901,0.049506,2.875467,3.058847,4102258,2737,1,Excellent
S2A_ElephantsDream_rep1,15,11,1.691179,1.327188,0.0,3.039873,2335740,1560,1,Excellent
S2A_ElephantsDream_rep1,16,11,1.604413,1.266923,0.0,3.045079,2216086,1478,1,Excellent
S2A_ElephantsDream_rep1,17,11,1.905638,1.218689,0.0,3.046292,2631838,1756,1,Excellent
S2A_ElephantsDream_rep1,18,11,2.975485,0.065279,2.895552,3.070796,4109813,2743,1,Excellent
S2A_ElephantsDream_rep1,19,11,1.978406,1.253659,0.0,3.024714,2732885,1826,1,Excellent
S2A_ElephantsDream_rep1,20,11,0.995667,1.054951,0.0,2.902359,1375323,919,1,Excellent
S2A_ElephantsDream_rep1,21,11,2.214983,1.26182,0.0,3.069573,3059801,2041,1,Excellent
S2A_ElephantsDream_rep1,22,11,2.972214,0.073435,2.818191,3.081517,4107034,2739,1,Excellent
S2A_ElephantsDream_rep1,23,11,2.973986,0.059559,2.902648,3.063779,4108657,2741,1,Excellent
S2A_ElephantsDream_rep1,24,11,2.56327,0.628642,1.409937,3.049453,3544400,2365,1,Excellent
S2A_ElephantsDream_rep1,25,11,1.810507,1.210718,0.0,3.046898,2500485,1668,1,Excellent
S2A_ElephantsDream_rep1,26,11,2.237287,1.043983,0.358459,3.057934,3090252,2061,1,Excellent
S2A_ElephantsDream_rep1,27,11,2.718781,0.583501,1.006169,3.034648,3755180,2505,1,Excellent
S2A_ElephantsDream_rep1,28,11,1.590688,1.237321,0.0,2.99791,2197128,1468,1,Excellent
S2A_ElephantsDream_rep1,29,11,0.000608,0.001218,0.0,0.003186,840,3,1,Excellent
